Field name,Description,Field Type Closed,Field Type Ongoing,Data Type,Examples
ExposureConcentrationsAppliedUnit,"Unit of the test substance’s actual concentration for conducting the exposure experiments, preferably molar concentrations (e.g. microM) or ppm.  Please do not use special characters like µ to avoid mojibake.",Mandatory,Mandatory,Text,NA
ExposureConcentrationActual,"The concentration of the substance in the exposure medium, measured analytically at specific time points during the study. If actual measured concentrations are not available, please mention “not measured”.",Recommended,Recommended,Numeric/text,NA
ExposureConcentrationActualUnit,"Unit of the test substance’s measured/actual concentration, preferably molar concentrations (e.g. microM) or ppm.  Please do not use special characters like µ to avoid mojibake.",Conditionally required,Conditionally required,Text,NA
EndpointDefinition,"Explain the biochemical process, response or effect (e.g., cell death, cell proliferation, apoptosis, gene expression, protein binding, reduction of 17 beta- estradiol) assessed in the test system.<br><br>Describe how the measured signal corresponds to a direct read out of the analyte (e.g. enzyme activity) or an indirect complex response such as cell survival, proliferation, localization of a protein, nuclear translocation.",Mandatory,Mandatory,Text,"assessment of cell death by using dyes to stain non-viable cells, assessment of cell death by measuring release of cytoplasmic contents due to damaged cell membrane, assessment of cell death by measuring cellular metabolic activity using metabolic dyes."
EndpointMeasure,Describe what is being measured to assess the biological response.,Mandatory,Mandatory,Text,"Measurement of extracellular LDH, reduction of resazurin by healthy cells, measurement of ATP levels, using PI to stain DNA of cells, measurement of the intracellular abundance of Luciferase protein by immunofluorescent staining "
EndpointReadoutMethod,Explain the technology that is being used to detect change.,Mandatory,Mandatory,text,"Luminescence, absorption (340nm), fluorescence: excitation/emission (530-540nm/620-640 nm)"
EndpointNormalisation,"Describe how the endpoint normalised, if applicable.",Mandatory,Mandatory,Text,Percent of vehicle control
TestSubstance,"Common/widely used name of the chemical/substance being tested, i.e., the test item.",Mandatory,Mandatory,Text,Bisphenol Z
StudyLead,"The person responsible for supervising/managing a sub-unit of a PARC project. In case of PARC, they are generally, the activity/use case/case study lead, and could be deputy managers of the projects.",Mandatory,Mandatory,Text,Joanna Smith
ORCIDStudyLead,Provide the ORCID ID of the study lead,Optional,Optional,String,NA
EmailStudyLead,Provide the email id of the study lead,Mandatory,Mandatory,Text,NA
RoleStudyLead,"Describe the role of the Study Lead(s) (within the project) to establish provenance. Only choose one that best describes the role of the Study Lead (even if not comprehensively) below:<br><br>Supervision role: Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.<br><br>Project administration role: Management and coordination responsibility for the research activity planning and execution.<br><br>Coordination role: The organization of the different elements needed to implement a study.<br><br>Conceptualization role: Ideas; formulation or evolution of overarching research goals and aims",Optional,Recommended,Text,NA
InstitutionalAffiliationStudyLead,The name of the institution to which the study lead is associated with.,Mandatory,Mandatory,Text,University of Leiden
RORIdentifierStudyLead,The identifier of the research institution in the Research Organization Registry (ROR) that the study lead is affiliated with.,Recommended,Recommended,URL,027bh9e22
SummaryDatafileReference,Name of the summary file with effects results from the experiments.,Recommended,Recommended,String,Stringsummary.csv; stringsummary.xlsx
ContactPersonStudy,"The name of the person who can be contacted for acquiring knowledge about the study (i.e, action), or acquisition of data/resource, if available. Could be same as Study lead email id or researcher email.",Mandatory,Mandatory,text,John Smith
ContactEmailStudy,The email id of the point of contact who can be contacted for acquiring knowledge about the study or acquisition of the data/resource. Could be same as Study lead email id or researcher email.,Mandatory,Mandatory,Text,NA
DateCreation,Date on which the template was completed to be sent to CRAhub for registration of the metadata.,Recommended,Recommended,"Date: YYY-MM-DD (ISO 8601, date and time format, i.e., YYYY-MM-DD)",NA
DepositedDate,Date on which the data was sent to be uploaded in the selected public repository.,Recommended,Recommended,"Date: YYY-MM-DD (ISO 8601, date and time format, i.e., YYYY-MM-DD)",NA
ReleaseDate,"The date on which the data is expected to be publicly available (include embargo period, if any).",Recommended,Recommended,"Date: YYY-MM-DD (ISO 8601, date and time format, i.e., YYYY-MM-DD)",NA
LastUpdatedDate,The date when the dataset was examined/re-examined and revised or amended.,Optional,Optional,"Date: YYY-MM-DD (ISO 8601, date and time format, i.e., YYYY-MM-DD)",NA
DescriptionOfDataGeneration,"Explain the datasets that would be generated from the studies<br><br>Dataset: Organised collection of data or objects in a computational format, that are generated or collected by researchers in the course of their investigations, regardless of their form or method, that form the object on which researchers test a hypothesis. This includes the full range of data: raw, unprocessed datasets, proprietary generated and processed data and secondary data obtained from third parties. Ref: https://terms.codata.org/rdmt/dataset<br><br>This question is also in PARC DSW Data Management Plan tool.",Mandatory,Mandatory,Text,"Data related to relative (fold change) in hormones level at each concentration, normalized metabolite ratio peak data per sample"
